EIN,Name,City,State
521920903,REDWOOD HOUSING INC,ROCKVILLE,MD
760838371,REFRESHING LIFE MINISTRIES INC,CATONSVILLE,MD
203213933,REFRESHING SPRINGS GLOBAL MINISTRIES INC,UPPER MARLBORO,MD
61706728,REFUGE FOR PRODIGALS INTERNATIONAL BIBLE MINISTRIES INC,GWYNN OAK,MD
521966995,REGIONAL CRIME ANALYSIS SYSTEM,COLUMBIA,MD
521139030,REGULATORY AFFAIRS PROFESSIONALS SOCIETY,ROCKVILLE,MD
520857131,REHABILITATION OPPORTUNITIES INC,LANHAM,MD
412230246,REID TEMPLE RESTORATION CENTER INC,GLENN DALE,MD
371433679,REJFOUNDATION,SILVER SPRING,MD
521753094,REMEMBER INC,ANNAPOLIS,MD
561998267,RENAL PATHOLOGY SOCIETY INC,BALTIMORE,MD
461946741,RENDEZVOUS HAITI,TOWSON,MD
237181886,RENEWABLE NATURAL RESOURCES FOUNDATION,N BETHESDA,MD
331017255,RESERVOIR HIGH SCHOOL BOOSTERS,FULTON,MD
261599249,RESIDENT SERVICES INCORPORATED,BALTIMORE,MD
521575246,RESIDENTIAL CONTINUUM INC,MONTGOMRY VLG,MD
521658275,RESIDENTIAL OPPORTUNITIES INC,COLUMBIA,MD
811551673,RESPONSIBLE ENVIRONMENTAL PRACTICES INC,CROFTON,MD
522122962,RESTORATION COMMUNITY DEVELOPMENT CORP,GLEN BURNIE,MD
542134494,RESTORATION MINISTRIES INTERNATIONAL,UPPR MARLBORO,MD
272593548,RESTORE2LIFE INC,CHELTENHAM,MD
260581299,RESTORED SOULS MINISTRIES INC,MARION STA,MD
202439153,RETINA CARE INTERNATIONAL INC,HAGERSTOWN,MD
542142637,RETREAT AT BECKLEYSVILLE INC,HAMPSTEAD,MD
521714731,RETROUVAILLE OF WASHINGTON DC & SUBURBAN MARYLAND INC,OLNEY,MD
451198546,REUNION SPORTIVE D HAITI INC,TAKOMA PARK,MD
521849336,REVISIONS COMMUNITY HOUSING DEVELOPMENT ORGANIZATION,TIMONIUM,MD
521064333,REVITZ HOUSE CORPORATION,ROCKVILLE,MD
521490393,REVITZ HOUSE FOUNDATION INC,ROCKVILLE,MD
274477606,RHONAS PLACE FOUNDATION,TOWSON,MD
522195642,RHYTHM FANTASIES INC,BURTONSVILLE,MD
521348965,RICHARD & ROSALEE C DAVISON FOUNDATION INC,BALTIMORE,MD
522274403,RIDE ACROSS MARYLAND FOUNDATION INC,BALTIMORE,MD
521363247,RIDGE RESIDENCES INC,WESTMINSTER,MD
521880753,RIDGELY VOLUNTEER FIRE DEPARTMENT INC,RIDGELY,MD
521310729,RIGHT WAY MINISTRIES INTERNATIONAL,GLEN BURNIE,MD
371624191,RIGHTEOUS WORKS MINISTRY INC,WILLIAMSPORT,MD
522085932,RIPM CONSORTIUM LTD,BALTIMORE,MD
454548790,RISE FOR AUTISM INC,SEVERNA PARK,MD
521525013,RIVERSDALE HISTORICAL SOCIETY INC,RIVERDALE PK,MD
521867770,ROAD RUNNERS CLUB OF AMERICA,HAGERSTOWN,MD
521252952,ROAD RUNNERS CLUB OF AMERICA,ANNAPOLIS,MD
521173677,ROAD RUNNERS CLUB OF AMERICA,COLUMBIA,MD
526035785,ROBERT & LILLIAN PHILIPSON FOUNDATION INC,SILVER SPRING,MD
261541889,ROBERT AND MIMIE HELM FAMILY CHARITABLE TRUST,ELLICOTT CITY,MD
526054331,ROBERT M FISHER MEMORIAL FOUNDATION INC,N BETHESDA,MD
521756339,ROBERT N ELKINS CHARITABLE FOUNDATION INC,BALTIMORE,MD
262348351,ROBERT T FREEMAN DENTAL SOCIETY FOUNDATION,GREENBELT,MD
260517415,ROBERTAS HOUSE INC,BALTIMORE,MD
710926873,ROBERTO CLEMENTE-SANTA ANA HEALTH CLINIC INC,BALTIMORE,MD
272486781,ROCK CREEK COMMUNITY DEVELOPMENT CORP,CLARKSVILLE,MD
223624934,ROCK SPRINGS FOUNDATION,BETHESDA,MD
521677460,ROCKBURN LAND TRUST INC,ELKRIDGE,MD
50545520,ROCKING MOON FOUNDATION INC,CHEVY CHASE,MD
520898527,ROCKVILLE DAY CARE ASSOCIATION INCORPORATED,ROCKVILLE,MD
522056731,ROCKVILLE ECONOMIC DEVELOPMENT INC,ROCKVILLE,MD
203332738,ROCKVILLE INSTITUTE A RESEARCH INSTITUTE FOR THE ADVANCEMENT OF S,ROCKVILLE,MD
520964594,ROCKVILLE NURSING HOME INC,ROCKVILLE,MD
521492325,ROCKVILLE PREGNANCY CENTER INC,ROCKVILLE,MD
526082337,RODMAN LOCAL UNION 201 APPRENTICE FUND,OXON HILL,MD
136103945,ROGERS WILBUR FOUNDATION INC,GIBSON ISLAND,MD
526042913,ROLAND PARK BASEBALL LEAGUES INC,BALTIMORE,MD
521479924,ROLAND PARK COMMUNITY FOUNDATION INC,BALTIMORE,MD
521715328,RONALD G MICHELS FELLOWSHIP FOUNDATION INC,RIDERWOOD,MD
522196373,ROOTS OF MANKIND CORP,TEMPLE HILLS,MD
521769801,ROSARYVILLE CONSERVANCY INC,CLINTON,MD
383210681,ROSE & K V MATHEW FOUNDATION,ROCKVILLE,MD
311596944,ROSE OF SHARON EQUESTRIAN SCHOOL INC,GLEN ARM,MD
526047672,ROSEWOOD ASSOCIATION FOR THE RETARDED INC,GLEN BURNIE,MD
526385515,ROTARY CLUB OF COLUMBIA PATUXENT CHARITABLE TRUST,COLUMBIA,MD
521192780,ROTARY CLUB OF HAGERSTOWN CHARITABLE FOUNDATION INC,HAGERSTOWN,MD
521984031,ROTARY CLUB OF SEVERNA PARK FOUNDATION INC,PASADENA,MD
263435899,ROZ AND MARVIN H WEINER FAMILY FOUNDATION INC,OWINGS MILLS,MD
521102842,RUDOLPH W SNOWDEN MEMORIAL SCHOLARSHIP FUND INC,SILVER SPRING,MD
464639092,RUKUNDO INTERNATIONAL INC,GAITHERSBURG,MD
522219822,RUPPERT FAMILY FOUNDATION INC,LAYTONSVILLE,MD
272389815,RURAL INDIA CHILD EDUCATION FUND INC,DAVIDSONVILLE,MD
830409996,RUSSELL RESCUE INC,LUTHERVILLE,MD
520959533,RUXTON COUNTRY SCHOOL INC,OWINGS MILLS,MD
526054184,S F FOUNDATION INC,LANDOVER,MD
141845536,SACRED GROUND PRAISE & WORSHIP CENTER INC,CAPITOL HGTS,MD
208541070,SACRED HEART TUTORIALS INC,TANEYTOWN,MD
522147148,SAFE AND SOUND BALTIMORES CAMPAIGN FOR CHILDREN AND YOUTH INC,BALTIMORE,MD
521677061,SAINT JAMES PARENTS ASSOCIATION INC,HAGERSTOWN,MD
201957045,SAINT JOSEPH COLLEGE ALUMNAE ASSOCIATION INC,EMMITSBURG,MD
464744865,SAINT LEONARD BOYS AND GIRLS CLUB INC,PORT REPUBLIC,MD
371541530,SALEM GOSPEL MINISTRIES,BALTIMORE,MD
452984648,SALISBURY FUTBOL CLUB,SALISBURY,MD
263965649,SALISBURY SKATEPARK COMMITTEE INC,SALISBURY,MD
562482514,SAMARITAN GROUP INC,CHESTERTOWN,MD
520911696,SAMARITAN HOUSES INC,ANNAPOLIS,MD
510156294,SAMPSON HIGH SCHOOL ALUMNI ASSOCIATION INC,RIVERDALE,MD
521952146,SANBERGER INC,ROCKVILLE,MD
352461796,SANDY SPRING ATHLETIC ASSOCIATION INC,ROCKVILLE,MD
521224038,SANDY SPRING MUSEUM INC,SANDY SPRING,MD
521104540,SANSKRITI INC,FREDERICK,MD
237022636,SARAH SAUER FOUNDATION,BALTIMORE,MD
463114984,SARIM BURNEY WELFARE TRUST INTERNATIONAL INC,GERMANTOWN,MD
460584311,SASAYA FAMILY FOUNDATION,LA PLATA,MD
232964829,SAT-7 NORTH AMERICA,EASON,MD
