EIN,Name,City,State
541691953,CHIMES DISTRICT OF COLUMBIA INC,BALTIMORE,MD
522000359,CHIMES INTERNATIONAL LIMITED,BALTIMORE,MD
521939446,CHINA NEWS DIGEST INTERNATIONAL INC,GAITHERSBURG,MD
260511841,CHINESE BIBLE CHURCH OF MARYLANDCHINESE SCHOOL,ROCKVILLE,MD
391633923,CHINESE DANCE ASSOCIATION MADISON CORPORATION,ROCKVILLE,MD
522280975,CHINESE OPERA SOCIETY OF GREATER WASHINGTON DC INC,POTOMAC,MD
465403886,CHINESE YOUTH CLUB ATHLETICS,CHEVY CHASE,MD
262185891,CHLOES CAUSE,PASADENA,MD
142009589,CHOOSMITH YOUTH EMPOWERMENT INC,OWINGS MILLS,MD
201783103,CHOSEN GENERATION USA INCORPORATED,COLUMBIA,MD
680670175,CHRIST APOSTOLIC CHURCH-DELIVERANCE EVANGELISTIC MINISTRIES,HYATTSVILLE,MD
521304252,CHRISTIAN ASSEMBLY,BETHESDA,MD
521938260,CHRISTLE LIGHTHOUSE PREGNANCY CARE,CAMP SPRINGS,MD
454058149,CHRISTOPHER AND CONSTANCE LI CHARITABLE FOUNDATION INC,POTOMAC,MD
522191432,CHRISTS SCHOOL ALUMNI ASSOCIATION OF NORTH AMERICA INC,UPPR MARLBORO,MD
830399456,CHULALONGKORN UNIVERSITY ALUMNI ASSOCIATION MID ATLANTIC,LUTHERVILLE,MD
520858575,CHURCH NURSERY INC,HAGERSTOWN,MD
464262185,CHURCHES HERE AIMED TO REHABILITATE INNOVATE AND TREAT YOUTH,BOWIE,MD
264604226,CIMNE-USA,BROOKEVILLE,MD
521994281,CIRCLE OF HOPE THERAPEUTIC RIDING INC,BARNESVILLE,MD
270601145,CITY NEIGHBORS FOUNDATION INC,BALTIMORE,MD
743034389,CITY OF BALTIMORE SMALL BUSINESS RESOURCE CENTER CORPORATION,BALTIMORE,MD
522102516,CIVIL JUSTICE INC,BALTIMORE,MD
261121346,CLARE & ROBERT MOORE SCHOLARSHIP FUND INC,FREDERICK,MD
206117123,CLARENCE W HOTTEL SR CHRISTIAN MINISTRY TR,BALTIMORE,MD
522338356,CLAREWOOD INSTITUTE INC,ROCKVILLE,MD
526042926,CLEARSPRING VOLUNTEER FIRE COMPANY INCORPORATED,CLEAR SPRING,MD
462708294,CLIMATE FIRST INC,TAKOMA PARK,MD
260686827,CLIMATE LAW AND POLICY INITIATIVE INC,CHEVY CHASE,MD
237164991,CLINICAL ORTHOPAEDIC SOCIETY INC,TOWSON,MD
521187901,CLINTON BOYS AND GIRLS CLUB,CLINTON,MD
800735293,CLOZYNERGY INC,UPPR MARLBORO,MD
300177685,CLUB 12 CORPORATION,BALTIMORE,MD
830396820,CM EDUCATIONAL PROGRAM SERVICES INC,LANDOVER,MD
541808914,CMH PENNSYLVANIA PLACE INC,COLUMBIA,MD
270902202,CNN GLOBAL HEALTH INITIATIVE INC,UPPR MARLBORO,MD
260093440,COALITION FOR AFRICAN AMERICANS IN THE PERFORMING ARTS INC,FT WASHINGTON,MD
203364814,COALITION HOMES INCORPORATED,ROCKVILLE,MD
562522484,COALITION OF BALTIMORE HIV PROVIDERS,BALTIMORE,MD
731694279,COASTAL EDUCATION & RESEARCH CONSORTIUM,POTOMAC,MD
562421814,COASTAL HERITAGE ALLIANCE,ST MICHAELS,MD
861080529,COCKER SPANIEL ADOPTION CENTER,WESTMINSTER,MD
453504477,CODY G RICHARDSON RELENTLESS SCHOLARSHIP FUND,PERRYVILLE,MD
521071250,COLDSTREAM-HOMESTEAD-MONTEBELLO COMMUNITY CORPORATION,BALTIMORE,MD
522358993,COLLEEN & ERIN MARLATT SCHOLARSHIP FUND INC,CLARKSVILLE,MD
262340212,COLLEGE AND CAREER PATHWAYS,GREENBELT,MD
208237940,COLLEGE OF WORKERS COMPENSATIONLAWYERS INC,ANNAPOLIS,MD
463232848,COLLEGE PARK ACADEMY PLUS INC,HYATTSVILLE,MD
521584758,COLLEGE PARK BOYS & GIRLS CLUB,COLLEGE PARK,MD
522063054,COLLEGE PARK CITY-UNIVERSITY PARTNERSHIP INC,COLLEGE PARK,MD
522011248,COLLINGTON CARE SERVICES INC,MITCHELLVILLE,MD
320370374,COLONIAL BEACH BLUES SOCIETY,BALTIMORE,MD
521942393,COLONIAL CHALLENGE CUP INC,ANNAPOLIS,MD
237074203,COLONIAL PLAYERS INCORPORATED,ANNAPOLIS,MD
201566838,COLOR AND LIGHT SOCIETY OF SOUTHERN MARYLAND INC,HOLLYWOOD,MD
522272516,COLTUN FAMILY FOUNDATION INC,ROCKVILLE,MD
521066100,COLUMBIA CENTER FOR THEATRICAL ARTS INC,COLUMBIA,MD
522132501,COLUMBIA EXPRESS INC,COLUMBIA,MD
521599803,COLUMBIA FESTIVAL INC,COLUMBIA,MD
462122069,COLUMBIA PEDAL & PADDLE INC,COLUMBIA,MD
263248227,COLUMBIA VANTAGE HOUSE FOUNDATION,COLUMBIA,MD
465188572,COLVIN FAMILY FOUNDATION INC,BALTIMORE,MD
631083896,COMEGYS BIGHT CHARITABLE FOUNDATION,CHESTERTOWN,MD
464044090,COMFORT CASES,GAITHERSBURG,MD
362658309,COMMISSION ON ACCREDITATION OF HEALTHCARE MANAGEMENT EDUCATION,ROCKVILLE,MD
510547764,COMMITTEE FOR THE DEVELOPMENT OF MENO,SILVER SPRING,MD
522305386,COMMUMITY HEALTH LEADERSHIP NETWORK INC,SILVER SPRING,MD
461216075,COMMUNITIES FOR TRANSIT INC,BETHESDA,MD
202416443,COMMUNITY ADVOCATES FOR FAMILY & YOUTH,CAPITOL HGTS,MD
520823186,COMMUNITY ASSISTANCE NETWORK INC,BALTIMORE,MD
521106898,COMMUNITY COMMONS INC,FREDERICK,MD
521296822,COMMUNITY CRISIS CENTER INC,REISTERSTOWN,MD
770702979,COMMUNITY DENTISTRY ON WHEELS INC,BOWIE,MD
273662468,COMMUNITY HEALTH AND EMPOWERMENT THROUGH EDUCATION AND RESEARCH INC,TAKOMA PARK,MD
521969140,COMMUNITY HEALTH CENTER OF PAROLE,ANNAPOLIS,MD
261932147,COMMUNITY MEDIATION CENTER OF CALVERT COUNTY INCORPORATED,PRNC FREDERCK,MD
520974092,COMMUNITY MINISTRY OF PRINCE GEORGE S COUNTY MARYLAND,UPPR MARLBORO,MD
521662186,COMMUNITY PRESERVATION AND DEVELOPMENT CORPORATION,SILVER SPRING,MD
521790021,COMMUNITY PRESERVATION COALITION OF ST MARYS INC,MECHANICSVLLE,MD
203862604,COMMUNITY SERVICE INITIATIVE INC,ELLICOTT CITY,MD
760703842,COMMUNITY SERVICES AND RESEARCH CENTER INC,FRUITLAND,MD
